ts,cpu,mem_used_mb,mem_limit_mb
1772410679,100.25%,157.20,1024.00
1772410682,100.11%,157.20,1024.00
1772410685,101.11%,157.40,1024.00
1772410687,100.42%,157.20,1024.00
1772410690,100.16%,157.20,1024.00
1772410692,100.65%,157.20,1024.00
1772410695,100.34%,157.20,1024.00
1772410697,100.96%,157.20,1024.00
1772410700,100.13%,157.20,1024.00
1772410703,100.50%,157.30,1024.00
1772410705,100.45%,157.30,1024.00
1772410708,100.29%,157.40,1024.00
1772410710,98.37%,157.30,1024.00
1772410713,99.70%,157.40,1024.00
1772410716,100.30%,157.60,1024.00
1772410718,100.56%,157.40,1024.00
1772410721,100.78%,157.40,1024.00
1772410723,99.58%,157.40,1024.00
1772410726,100.51%,157.50,1024.00
1772410728,101.15%,157.40,1024.00
1772410731,99.70%,157.40,1024.00
1772410734,100.96%,157.50,1024.00
1772410736,100.15%,157.40,1024.00
1772410739,99.92%,157.50,1024.00
1772410741,100.11%,157.50,1024.00
1772410744,99.83%,157.50,1024.00
1772410746,100.65%,157.50,1024.00
1772410749,100.25%,157.50,1024.00
1772410752,100.51%,157.80,1024.00
1772410754,100.57%,157.50,1024.00
1772410757,100.44%,157.60,1024.00
1772410759,100.13%,157.60,1024.00
1772410762,100.42%,157.60,1024.00
1772410764,100.67%,157.60,1024.00
1772410767,100.64%,157.80,1024.00
1772410770,100.80%,157.90,1024.00
1772410772,100.55%,157.60,1024.00
1772410775,100.33%,157.60,1024.00
1772410777,100.15%,157.70,1024.00
1772410780,100.24%,157.70,1024.00
1772410782,100.76%,157.70,1024.00
1772410785,100.70%,157.70,1024.00
1772410788,100.35%,157.70,1024.00
1772410790,100.27%,157.70,1024.00
1772410793,100.16%,157.70,1024.00
1772410795,100.39%,157.80,1024.00
1772410798,100.53%,157.80,1024.00
1772410800,100.04%,157.80,1024.00
1772410803,99.39%,157.80,1024.00
1772410806,100.61%,157.80,1024.00
1772410808,100.26%,157.80,1024.00
1772410811,100.59%,157.80,1024.00
1772410813,100.11%,157.80,1024.00
1772410816,100.39%,157.90,1024.00
1772410819,100.01%,157.90,1024.00
1772410821,100.78%,157.90,1024.00
1772410824,100.47%,157.90,1024.00
1772410826,100.72%,157.90,1024.00
1772410829,100.34%,157.90,1024.00
1772410831,100.85%,157.90,1024.00
1772410834,100.27%,157.90,1024.00
1772410837,100.08%,157.90,1024.00
1772410839,100.81%,157.90,1024.00
1772410842,100.13%,158.00,1024.00
1772410844,99.93%,158.00,1024.00
1772410847,100.53%,158.00,1024.00
1772410849,99.67%,158.00,1024.00
1772410852,100.43%,158.00,1024.00
1772410855,100.62%,158.00,1024.00
1772410857,100.41%,158.10,1024.00
1772410860,100.18%,158.00,1024.00
1772410862,99.40%,158.00,1024.00
1772410865,100.51%,158.10,1024.00
1772410867,99.78%,158.30,1024.00
1772410870,100.74%,158.10,1024.00
1772410873,100.59%,158.10,1024.00
1772410875,100.43%,158.10,1024.00
1772410878,101.16%,158.20,1024.00
1772410880,100.24%,158.20,1024.00
1772410883,100.83%,158.20,1024.00
1772410885,100.12%,158.20,1024.00
1772410888,99.79%,158.20,1024.00
1772410891,100.77%,158.20,1024.00
